term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
beg for one's life	clitic	2	2	2	1.00	yes		
bite one's lip	clitic	2	2	2	1.00	yes		
bite one's nails	clitic	2	2	2	1.00	yes		
bite someone's head off	clitic	2	1	2	0.50	no	I hoped you would cry out in your sleep, so I could bite off your head.	bite … off … your … head
bite the hand that feeds one	clitic	2	2	2	1.00	yes		
bite the hand that feeds one	filled	2	2	2	1.00	yes		
blow someone's mind	clitic	2	2	2	1.00	yes		
break one's word	clitic	2	2	2	1.00	yes		
bring out of oneself	filled	2	0	2	0.00	no	They've brought them out of the county.	brought … out … of … county
broaden someone's horizons	clitic	2	2	2	1.00	yes		
brush one's teeth	filled	2	2	2	1.00	yes		
carry one's weight	filled	2	0	2	0.00	no	Don't carry the weight of the dead.	carry … weight … dead
cat got someone's tongue	clitic	2	2	2	1.00	yes		
catch one's death	clitic	2	2	2	1.00	yes		
catch someone's eye	filled	2	2	2	1.00	yes		
change one's spots	clitic	2	2	2	1.00	yes		
clear one's throat	clitic	2	2	2	1.00	yes		
clear someone's name	filled	2	2	2	1.00	yes		
close to someone's heart	clitic	2	2	2	1.00	yes		
clothes on one's back	filled	2	1	2	0.50	no	He had no clothes on him at all.	clothes … on … him
collect one's thoughts	clitic	2	2	2	1.00	yes		
cross one's fingers	clitic	2	2	2	1.00	yes		
cross oneself	clitic	2	2	2	1.00	yes		
cry one's eyes out	clitic	2	2	2	1.00	yes		
cut someone's throat	filled	2	2	2	1.00	yes		
do one's stuff	filled	2	0	2	0.00	no	I like doing stuff like that.	doing … stuff … that
do one's worst	clitic	2	2	2	1.00	yes		
does someone look like	filled	2	2	2	1.00	yes		
drink oneself to death	clitic	2	2	2	1.00	yes		
drink oneself to death	filled	2	2	2	1.00	yes		
drive someone insane	clitic	2	2	2	1.00	yes		
dry one's eyes	clitic	2	2	2	1.00	yes		
earn one's keep	clitic	2	2	2	1.00	yes		
eat someone's lunch	filled	2	0	2	0.00	no	I was accused of eating the boss's lunch.	eating … boss … lunch
fall off one's perch	clitic	2	0	2	0.00	no	My fall was a complete success.	My … fall
fall on one's face	clitic	2	0	2	0.00	no	My fall was a complete success.	My … fall
fall on one's feet	clitic	2	0	2	0.00	no	My fall was a complete success.	My … fall
fall over one's feet	clitic	2	0	2	0.00	no	My fall was a complete success.	My … fall
fall to one's knees	clitic	2	2	2	1.00	yes		
fend for oneself	filled	2	2	2	1.00	yes		
figment of one's imagination	clitic	2	2	2	1.00	yes		
find one's account	filled	2	0	2	0.00	no	All I found is a pair of scissors.	All … found
find one's feet	filled	2	0	2	0.00	no	All I found is a pair of scissors.	All … found
float someone's boat	clitic	2	2	2	1.00	yes		
force someone's hand	clitic	2	2	2	1.00	yes		
forget one's manners	clitic	2	2	2	1.00	yes		
get above oneself	filled	2	0	2	0.00	no	Get above him!	Get … above … him
get ahold of oneself	filled	2	0	2	0.00	no	Get ahold of it, tip it over, but not all the way.	Get … ahold … of … it
get off someone's back	clitic	2	2	2	1.00	yes		
get on someone's nerves	filled	2	2	2	1.00	yes		
get on someone's tits	clitic	2	2	2	1.00	yes		
get on someone's wrong side	filled	2	0	2	0.00	no	He got up on the wrong side of the bed.	got … on … wrong … side … bed
get one's act together	clitic	2	2	2	1.00	yes		
get one's feet wet	clitic	2	0	2	0.00	no	I don't want to get my feet wet.	get … my … feet … wet
get one's head together	clitic	2	2	2	1.00	yes		
get one's way	filled	2	0	2	0.00	no	Baby, you got a way with you.	got … way … you
get someone's drift	clitic	2	2	2	1.00	yes		
get someone's number	filled	2	1	2	0.50	no	But it was me who didn't get the right number of umbrellas.	get … number … umbrellas
get something over with	clitic	2	2	2	1.00	yes		
get what one asked for	filled	2	2	2	1.00	yes		
give it one's best shot	clitic	2	2	2	1.00	yes		
give someone a bell	filled	2	2	2	1.00	yes		
give someone a shout	filled	2	2	2	1.00	yes		
give someone the eye	filled	2	0	2	0.00	no	She gave me the evil eye.	gave … me … the … eye
give someone the slip	filled	2	2	2	1.00	yes		
go one's own way	clitic	2	2	2	1.00	yes		
go over someone's head	clitic	2	1	2	0.50	no	Why did you go over my head on this?	go … over … my … head
go with one's gut	filled	2	0	2	0.00	no	Give him a go with gun powder!	go … with … powder
harm a hair on someone's head	filled	2	2	2	1.00	yes		
have butterflies in one's stomach	clitic	2	2	2	1.00	yes		
have one's cake and eat it	clitic	2	2	2	1.00	yes		
have one's hands full	clitic	2	2	2	1.00	yes		
have someone's back	clitic	2	1	2	0.50	no	The old man had his back to me.	had … his … back
have someone's back	filled	2	1	2	0.50	no	The old man had his back to me.	had … back … me
have tickets on oneself	filled	2	0	2	0.00	no	Do you have a cheap flight ticket on a domestic line?	have … ticket … on … line
head on one's shoulders	clitic	2	0	2	0.00	no	He has a good head on his shoulders.	head … on … his … shoulders
hear oneself think	filled	2	2	2	1.00	yes		
hold one's fire	clitic	2	1	2	0.50	no	Hold back your fire!	Hold … your … fire
hold one's nose	clitic	2	0	2	0.00	no	His hold over King Théoden is now very strong.	His … hold
hold one's peace	clitic	2	0	2	0.00	no	His hold over King Théoden is now very strong.	His … hold
in all one's glory	clitic	2	2	2	1.00	yes		
in one's book	filled	2	0	2	0.00	no	In your book, you hope to end the divide between the normal and the marginal.	In … your … book
in one's midst	clitic	2	2	2	1.00	yes		
in one's opinion	filled	2	2	2	1.00	yes		
in one's own time	clitic	2	2	2	1.00	yes		
in one's own world	clitic	2	2	2	1.00	yes		
in one's right mind	clitic	2	2	2	1.00	yes		
in one's sight	filled	2	2	2	1.00	yes		
in one's sights	filled	2	0	2	0.00	no	And walk in the ways of thine heart, and in the sight of thine eyes.	in … sight … eyes
in one's teens	clitic	2	2	2	1.00	yes		
in someone's debt	filled	2	0	2	0.00	no	Italy and France are in a lot of debt.	in … lot … debt
in someone's light	filled	2	0	2	0.00	no	In light of the current AEC guidelines, would you clear Dr. Oppenheimer today?	In … light … guidelines
in the pocket of someone	filled	2	0	2	0.00	no	It is in the pocket of my jacket.	in … the … pocket … of … jacket
jog someone's memory	clitic	2	2	2	1.00	yes		
keep one's chin up	clitic	2	2	2	1.00	yes		
keep one's head	filled	2	1	2	0.50	no	Keeping the worm's head at bay.	Keeping … worm … head
keep one's head down	clitic	2	1	2	0.50	no	Just keep your big head down, Shalulu!	keep … your … head … down
keep one's mouth shut	filled	2	2	2	1.00	yes		
keep someone amused	filled	2	2	2	1.00	yes		
keep someone busy	clitic	2	2	2	1.00	yes		
kiss someone's arse	clitic	2	2	2	1.00	yes		
knock someone's head off	clitic	2	2	2	1.00	yes		
know one's stuff	clitic	2	2	2	1.00	yes		
laugh one's head off	clitic	2	2	2	1.00	yes		
lay down one's arms	clitic	2	2	2	1.00	yes		
leave one's mark	filled	2	1	2	0.50	no	The vaccination left a funny little mark on my arm.	left … mark … arm
let one loose	clitic	2	2	2	1.00	yes		
let someone hold	clitic	2	1	2	0.50	no	Let me hold her!	Let … me … hold
let someone hold	filled	2	1	2	0.50	no	Let me hold her!	Let … me … hold
let someone loose	clitic	2	2	2	1.00	yes		
let something ride	clitic	2	0	2	0.00	no	He'll let me ride with the baggage.	let … me … ride
let something ride	filled	2	0	2	0.00	no	He'll let me ride with the baggage.	let … me … ride
lick one's lips	clitic	2	2	2	1.00	yes		
lick someone's ass	filled	2	0	2	0.00	no	The house could do with a lick of paint.	lick … paint
like one owns the place	filled	2	2	2	1.00	yes		
like someone owns the place	filled	2	2	2	1.00	yes		
lose one's cool	clitic	2	2	2	1.00	yes		
lose one's shirt	clitic	2	2	2	1.00	yes		
lose one's touch	filled	2	0	2	0.00	no	How come you've lost touch with him?	lost … touch … him
make one's mark	filled	2	1	2	0.50	no	This turns here and after that makes this question mark kind of thing.	makes … mark … thing
make one's own	clitic	2	2	2	1.00	yes		
make someone's acquaintance	clitic	2	2	2	1.00	yes		
make someone's blood boil	clitic	2	2	2	1.00	yes		
make someone's hair stand on end	clitic	2	2	2	1.00	yes		
make something of oneself	filled	2	2	2	1.00	yes		
meet one's end	clitic	2	2	2	1.00	yes		
meet one's match	clitic	2	2	2	1.00	yes		
move someone to tears	filled	2	2	2	1.00	yes		
of one's choice	clitic	2	1	2	0.50	no	I'm living with the consequences of my own choice.	of … my … choice
off one's face	filled	2	0	2	0.00	no	He disappeared off the face of the earth.	off … face … earth
off someone's hands	clitic	2	2	2	1.00	yes		
on one's feet	filled	2	0	2	0.00	no	And Molly would fall asleep with her hand resting on Bo's feet.	on … Bo … feet
on one's guard	filled	2	2	2	1.00	yes		
on one's part	clitic	2	2	2	1.00	yes		
on one's toes	filled	2	0	2	0.00	no	Right at the tip, almost on the toes of the boot.	on … toes … boot
on someone's tail	filled	2	0	2	0.00	no	Don't step on the dog's tail.	on … dog … tail
one could hear a pin drop	filled	2	2	2	1.00	yes		
one should be so lucky	filled	2	2	2	1.00	yes		
one's lips are sealed	clitic	2	2	2	1.00	yes		
one's name is mud	clitic	2	2	2	1.00	yes		
one's word is law	clitic	2	2	2	1.00	yes		
open one's mouth	filled	2	0	2	0.00	no	Sinan's wide open!	Sinan … open
open someone's eyes	filled	2	1	2	0.50	no	Open you eyes, the garage is empty!	Open … you … eyes
out of someone's way	clitic	2	2	2	1.00	yes		
pay one's own way	clitic	2	2	2	1.00	yes		
pay one's respects	filled	2	2	2	1.00	yes		
pee one's pants	clitic	2	2	2	1.00	yes		
pee oneself	clitic	2	2	2	1.00	yes		
poke someone's eye out	clitic	2	2	2	1.00	yes		
push one's way	clitic	2	2	2	1.00	yes		
put one's feet up	clitic	2	2	2	1.00	yes		
put oneself in someone's shoes	clitic	2	2	2	1.00	yes		
put out of one's head	clitic	2	2	2	1.00	yes		
put someone in their place	clitic	2	0	2	0.00	no	Please put it back in its place.	put … it … in … its … place
put words in someone's mouth	clitic	2	2	2	1.00	yes		
raise one's eyebrows	clitic	2	2	2	1.00	yes		
rip someone's head off	clitic	2	2	2	1.00	yes		
risk one's life	filled	2	2	2	1.00	yes		
roll one's eyes	clitic	2	2	2	1.00	yes		
roof over one's head	filled	2	2	2	1.00	yes		
rub one's hands	clitic	2	2	2	1.00	yes		
rub one's hands together	clitic	2	2	2	1.00	yes		
rub someone the wrong way	filled	2	2	2	1.00	yes		
save one's skin	clitic	2	2	2	1.00	yes		
save someone's skin	clitic	2	2	2	1.00	yes		
scratch someone's back	clitic	2	0	2	0.00	no	I can't scratch my back.	scratch … my … back
shift one's tides	filled	2	0	2	0.00	no	All of the night shift on the artillery depot were killed.	shift … depot
show one's butt	clitic	2	2	2	1.00	yes		
show someone the ropes	filled	2	2	2	1.00	yes		
shut one's mouth	filled	2	2	2	1.00	yes		
shut one's trap	filled	2	2	2	1.00	yes		
sit on one's hands	clitic	2	2	2	1.00	yes		
sit one's ass down	clitic	2	2	2	1.00	yes		
skeleton in one's closet	clitic	2	2	2	1.00	yes		
slap someone around	filled	2	2	2	1.00	yes		
slit someone's throat	clitic	2	2	2	1.00	yes		
smash someone's head	clitic	2	1	2	0.50	no	The hatchet that smashed his head was next to him.	smashed … his … head
someone's cup of tea	filled	2	1	2	0.50	no	She brought me a cup of tea without sugar.	cup … of … tea … sugar
spit in someone's face	clitic	2	0	2	0.00	no	Save your spit and fire for the bandits.	your … spit
spread oneself thin	filled	2	2	2	1.00	yes		
spread oneself too thin	filled	2	2	2	1.00	yes		
stand on one's head	clitic	2	2	2	1.00	yes		
standing on one's head	clitic	2	2	2	1.00	yes		
steal someone's heart	clitic	2	2	2	1.00	yes		
stick in someone's throat	clitic	2	1	2	0.50	no	A fish bone has stuck in my throat.	stuck … in … my … throat
stuff one's face	clitic	2	2	2	1.00	yes		
sweat of one's brow	filled	2	1	2	0.50	no	Perfumes are often made from the sweat of various male animals.	sweat … of … animals
sweat one's guts out	clitic	2	2	2	1.00	yes		
take one's pick	clitic	2	2	2	1.00	yes		
take someone to the grave	filled	2	1	2	0.50	no	He took that secret with him to the grave.	took … secret … to … the … grave
take someone's head off	clitic	2	2	2	1.00	yes		
thank one's lucky stars	clitic	2	2	2	1.00	yes		
there one has it	filled	2	2	2	1.00	yes		
time is on one's side	clitic	2	2	2	1.00	yes		
to one's face	filled	2	1	2	0.50	no	It is rare to be this close to the face of a murderer.	to … face … murderer
to one's name	clitic	2	1	2	0.50	no	I am going back to my maiden name.	to … my … name
to someone's face	filled	2	1	2	0.50	no	It is rare to be this close to the face of a murderer.	to … face … murderer
to someone's liking	clitic	2	2	2	1.00	yes		
try someone's patience	filled	2	2	2	1.00	yes		
under one's breath	clitic	2	2	2	1.00	yes		
under one's hat	clitic	2	2	2	1.00	yes		
under someone's roof	clitic	2	2	2	1.00	yes		
watch one's ass	clitic	2	1	2	0.50	no	Walk ahead, so I can watch your ass.	watch … your … ass
wish someone well	clitic	2	2	2	1.00	yes		
words fail someone	clitic	2	2	2	1.00	yes		
God love someone	clitic	1	1	1	1.00	yes		
I'd like to see someone try	clitic	1	1	1	1.00	yes		
I'd like to see someone try	filled	1	1	1	1.00	yes		
about one's ears	clitic	1	0	1	0.00	no	I-I make jokes about your ears.	about … your … ears
about one's person	clitic	1	1	1	1.00	yes		
according to one's understanding	clitic	1	1	1	1.00	yes		
act one's age	clitic	1	1	1	1.00	yes		
ahead of one's time	clitic	1	1	1	1.00	yes		
albatross around one's neck	filled	1	1	1	1.00	yes		
around one's ears	clitic	1	0	1	0.00	no	Grab the rabbit by the tail, wrap it around his ear.	around … his … ear
at one's ease	filled	1	1	1	1.00	yes		
at one's own peril	clitic	1	1	1	1.00	yes		
at one's peril	clitic	1	1	1	1.00	yes		
at someone's door	filled	1	0	1	0.00	no	I'll wait for you at the door of your building, ok?	at … door … building
at someone's heels	clitic	1	1	1	1.00	yes		
at someone's heels	filled	1	1	1	1.00	yes		
at someone's throat	filled	1	1	1	1.00	yes		
at the top of one's voice	clitic	1	1	1	1.00	yes		
back of one's hand	clitic	1	1	1	1.00	yes		
back of one's mind	clitic	1	1	1	1.00	yes		
bare one's heart	clitic	1	1	1	1.00	yes		
bare one's teeth	clitic	1	1	1	1.00	yes		
bash someone's head	filled	1	1	1	1.00	yes		
bawl one's eyes out	clitic	1	1	1	1.00	yes		
be on one's beanwater	filled	1	0	1	0.00	no	The number of cases of whooping cough is on the rise in the last years.	is … on … rise
be on one's bullshit	filled	1	0	1	0.00	no	The number of cases of whooping cough is on the rise in the last years.	is … on … rise
be on someone's dick	filled	1	0	1	0.00	no	The number of cases of whooping cough is on the rise in the last years.	is … on … rise
be onto something	filled	1	1	1	1.00	yes		
beat one's face	clitic	1	1	1	1.00	yes		
beat one's meat	clitic	1	1	1	1.00	yes		
beat someone's time	clitic	1	0	1	0.00	no	You guys know my name You dance to my beat.	my … beat
beg for one's life	filled	1	1	1	1.00	yes		
beg someone's pardon	filled	1	1	1	1.00	yes		
believe one's eyes	filled	1	1	1	1.00	yes		
bend to one's will	clitic	1	1	1	1.00	yes		
bend to one's will	filled	1	1	1	1.00	yes		
bet one's life	clitic	1	1	1	1.00	yes		
bide one's time	clitic	1	1	1	1.00	yes		
blood in one's eye	clitic	1	0	1	0.00	no	No, you just got blood in your eyes.	blood … in … your … eyes
blow one's chance	clitic	1	0	1	0.00	no	Guaracy was cashing in from my blows on trafficking.	my … blows
blow one's lid	clitic	1	0	1	0.00	no	Guaracy was cashing in from my blows on trafficking.	my … blows
blow one's nose	filled	1	1	1	1.00	yes		
boot one	clitic	1	1	1	1.00	yes		
bored out of one's mind	clitic	1	1	1	1.00	yes		
box someone's ears	clitic	1	1	1	1.00	yes		
break one's back	filled	1	0	1	0.00	no	The fall broke the Middle Counselor's back.	broke … Counselor … back
break someone's back	filled	1	1	1	1.00	yes		
break someone's face	filled	1	1	1	1.00	yes		
bring oneself away	filled	1	1	1	1.00	yes		
bullet with someone's name on it	clitic	1	1	1	1.00	yes		
burn a hole in someone's pocket	clitic	1	1	1	1.00	yes		
burn one's bridges	clitic	1	1	1	1.00	yes		
burn one's bridges	filled	1	1	1	1.00	yes		
burn one's fingers	clitic	1	0	1	0.00	no	I burnt my fingers on the hob this morning.	burnt … my … fingers
burn one's fingers	filled	1	0	1	0.00	no	I burnt my fingers on the hob this morning.	burnt … my … fingers
burn someone at the stake	filled	1	1	1	1.00	yes		
burn someone's ass	clitic	1	0	1	0.00	no	I burned her ass to a crisp.	burned … her … ass
burst someone's bubble	clitic	1	1	1	1.00	yes		
bust one's arse	clitic	1	1	1	1.00	yes		
bust one's ass	clitic	1	1	1	1.00	yes		
bust someone's ass	clitic	1	1	1	1.00	yes		
by the skin of one's teeth	clitic	1	1	1	1.00	yes		
call someone's number	clitic	1	0	1	0.00	no	When I call out your number go to the cells!	call … your … number
cast one's vote	clitic	1	1	1	1.00	yes		
catch oneself on	filled	1	0	1	0.00	no	He caught on fire in a shower cubicle, and they blamed it on a gas leak.	caught … on … fire
catch someone's drift	clitic	1	1	1	1.00	yes		
change one's story	clitic	1	1	1	1.00	yes		
change one's tune	clitic	1	1	1	1.00	yes		
change oneself	clitic	1	1	1	1.00	yes		
choose one's battles	clitic	1	1	1	1.00	yes		
claim someone's life	clitic	1	1	1	1.00	yes		
click one's fingers	clitic	1	1	1	1.00	yes		
click one's tongue	clitic	1	1	1	1.00	yes		
clip someone's wings	filled	1	0	1	0.00	no	It seems a cruel thing to clip a bird's wings.	clip … bird … wings
close one's mind	clitic	1	1	1	1.00	yes		
close to someone's heart	filled	1	1	1	1.00	yes		
come into one's own	clitic	1	1	1	1.00	yes		
come out of one's shell	clitic	1	1	1	1.00	yes		
come to oneself	clitic	1	0	1	0.00	no	I should have come myself.	come … myself
come to someone's aid	clitic	1	1	1	1.00	yes		
come to someone's aid	filled	1	1	1	1.00	yes		
comfortable in one's own skin	clitic	1	1	1	1.00	yes		
comfortable in one's skin	clitic	1	1	1	1.00	yes		
cool one's heels	clitic	1	1	1	1.00	yes		
cool one's jets	clitic	1	1	1	1.00	yes		
cramp someone's style	clitic	1	1	1	1.00	yes		
cross someone's path	filled	1	1	1	1.00	yes		
cross that bridge when one comes to it	filled	1	1	1	1.00	yes		
curl someone's hair	clitic	1	1	1	1.00	yes		
cut one loose	clitic	1	1	1	1.00	yes		
cut one's own throat	clitic	1	1	1	1.00	yes		
cut one's stick	filled	1	0	1	0.00	no	If you don't cut me stick this in my chest, I'll stop breathing and die.	cut … stick … this
danger is one's middle name	clitic	1	1	1	1.00	yes		
darken someone's door	clitic	1	1	1	1.00	yes		
dig in one's heels	clitic	1	1	1	1.00	yes		
dig in one's heels	filled	1	1	1	1.00	yes		
do one's duty	filled	1	1	1	1.00	yes		
do one's own thing	clitic	1	1	1	1.00	yes		
do one's part	filled	1	1	1	1.00	yes		
do one's utmost	clitic	1	1	1	1.00	yes		
do someone proud	filled	1	1	1	1.00	yes		
drive someone up the wall	clitic	1	1	1	1.00	yes		
drown one's sorrows	clitic	1	0	1	0.00	no	Let the rain drown out your sorrow.	drown … your … sorrow
earn one's crust	filled	1	0	1	0.00	no	You wouldn't have earned even a crust of bread.	earned … crust … bread
earn one's wings	clitic	1	1	1	1.00	yes		
eat from someone's hand	clitic	1	0	1	0.00	no	The goat ate the food from my hand.	ate … from … my … hand
eat from someone's hand	filled	1	0	1	0.00	no	The goat ate the food from my hand.	ate … from … my … hand
eat one's dinners	filled	1	1	1	1.00	yes		
eat one's heart	clitic	1	0	1	0.00	no	How's my eating meat connected to the temple?	my … eating
eat one's heart	filled	1	0	1	0.00	no	That's all they eat.	all … eat
eat one's own	clitic	1	0	1	0.00	no	How's my eating meat connected to the temple?	my … eating
eat one's own	filled	1	0	1	0.00	no	That's all they eat.	all … eat
eat one's young	clitic	1	1	1	1.00	yes		
eat out of someone's hand	clitic	1	1	1	1.00	yes		
eat someone alive	clitic	1	1	1	1.00	yes		
eat someone for breakfast	clitic	1	1	1	1.00	yes		
eat someone's heart	clitic	1	0	1	0.00	no	Well, you told me you'd eat my heart, and it's still intact.	eat … my … heart
eat someone's heart	filled	1	0	1	0.00	no	I hope Howl doesn't eat such an old woman's heart.	eat … woman … heart
egg on one's face	clitic	1	1	1	1.00	yes		
end one's life	filled	1	1	1	1.00	yes		
everything one touches turns to gold	filled	1	1	1	1.00	yes		
expose oneself	clitic	1	1	1	1.00	yes		
extend one's hand	clitic	1	1	1	1.00	yes		
feel one's legs	clitic	1	1	1	1.00	yes		
fight for one's life	clitic	1	1	1	1.00	yes		
find one's legs	filled	1	0	1	0.00	no	I've always found women's legs sexy.	found … women … legs
find one's voice	clitic	1	1	1	1.00	yes		
find one's voice	filled	1	0	1	0.00	no	I don't like their music; I find the singer's voice strident.	find … singer … voice
fix someone's clock	clitic	1	0	1	0.00	no	Can you fix my clock?	fix … my … clock
fix someone's clock	filled	1	0	1	0.00	no	Fix the clock on the wall.	Fix … clock … wall
flip one's lid	clitic	1	1	1	1.00	yes		
flip one's lid	filled	1	1	1	1.00	yes		
follow in someone's footsteps	clitic	1	1	1	1.00	yes		
follow in someone's footsteps	filled	1	1	1	1.00	yes		
follow one's nose	clitic	1	1	1	1.00	yes		
follow someone to the ends of the earth	clitic	1	1	1	1.00	yes		
follow someone to the ends of the earth	filled	1	1	1	1.00	yes		
follow someone to the ends of the world	clitic	1	1	1	1.00	yes		
follow someone to the ends of the world	filled	1	1	1	1.00	yes		
for one's trouble	clitic	1	1	1	1.00	yes		
for one's trouble	filled	1	0	1	0.00	no	They care not for the troubles of others.	for … troubles … others
for the life of one	clitic	1	1	1	1.00	yes		
for the life of one	filled	1	1	1	1.00	yes		
from the bottom of one's heart	filled	1	1	1	1.00	yes		
fuck someone's brains out	clitic	1	1	1	1.00	yes		
fuck someone's brains out	filled	1	1	1	1.00	yes		
get into someone's head	clitic	1	1	1	1.00	yes		
get into someone's head	filled	1	1	1	1.00	yes		
get on someone's last nerve	clitic	1	1	1	1.00	yes		
get one's arse into gear	clitic	1	1	1	1.00	yes		
get one's ass in gear	clitic	1	1	1	1.00	yes		
get one's fill	clitic	1	1	1	1.00	yes		
get one's hands on	filled	1	1	1	1.00	yes		
get one's head around	clitic	1	1	1	1.00	yes		
get one's head right	clitic	1	1	1	1.00	yes		
get one's house in order	clitic	1	1	1	1.00	yes		
get one's jollies	clitic	1	0	1	0.00	no	My getting involved with something like this after so long.	My … getting
get one's juices flowing	clitic	1	1	1	1.00	yes		
get one's way	clitic	1	0	1	0.00	no	Happiness is bae, she gets my way.	gets … my … way
get someone's goat	filled	1	1	1	1.00	yes		
get through one's thick skull	clitic	1	0	1	0.00	no	My getting involved with something like this after so long.	My … getting
get to one's feet	clitic	1	0	1	0.00	no	My getting involved with something like this after so long.	My … getting
get under someone's skin	filled	1	1	1	1.00	yes		
give one's all	filled	1	1	1	1.00	yes		
give one's right arm	clitic	1	0	1	0.00	no	Do you know about our giving birth?	our … giving
give one's right arm	filled	1	0	1	0.00	no	That's all I can give you right now.	all … give
give oneself airs	filled	1	1	1	1.00	yes		
give someone a buzz	filled	1	1	1	1.00	yes		
give someone a jingle	filled	1	1	1	1.00	yes		
give someone an earful	filled	1	1	1	1.00	yes		
give someone enough rope	filled	1	1	1	1.00	yes		
give someone the arm	filled	1	0	1	0.00	no	He was gonna give me the arms!	give … me … the … arms
give someone the boot	filled	1	1	1	1.00	yes		
give someone the chair	filled	1	1	1	1.00	yes		
give someone the cold shoulder	filled	1	1	1	1.00	yes		
give someone what for	filled	1	1	1	1.00	yes		
give something a whirl	filled	1	1	1	1.00	yes		
good as one's word	clitic	1	1	1	1.00	yes		
good head on one's shoulders	clitic	1	1	1	1.00	yes		
hair of the dog that bit one	filled	1	1	1	1.00	yes		
hang one's head	clitic	1	1	1	1.00	yes		
hang up one's hat	clitic	1	0	1	0.00	no	You should hang up your hat.	hang … up … your … hat
have a head on one's shoulders	clitic	1	1	1	1.00	yes		
have eyes in the back of one's head	clitic	1	1	1	1.00	yes		
have had one's chips	filled	1	0	1	0.00	no	He's had a big chip on his shoulder ever since he was passed up for promotion.	's … had … chip … shoulder
have had one's day	clitic	1	1	1	1.00	yes		
have none of something	filled	1	1	1	1.00	yes		
have one's cake and eat it too	clitic	1	1	1	1.00	yes		
have one's head up one's ass	clitic	1	1	1	1.00	yes		
have one's pick	filled	1	1	1	1.00	yes		
have someone there	clitic	1	1	1	1.00	yes		
have someone's blood	clitic	1	1	1	1.00	yes		
heaven help someone	clitic	1	1	1	1.00	yes		
heaven help someone	filled	1	1	1	1.00	yes		
hold one's breath	filled	1	1	1	1.00	yes		
hold one's drink	clitic	1	1	1	1.00	yes		
hold one's liquor	clitic	1	1	1	1.00	yes		
hold one's nerve	clitic	1	1	1	1.00	yes		
hold one's tongue	filled	1	1	1	1.00	yes		
hold up one's end	clitic	1	1	1	1.00	yes		
hold up one's end	filled	1	1	1	1.00	yes		
if it kills one	clitic	1	1	1	1.00	yes		
if it kills one	filled	1	1	1	1.00	yes		
in all one's glory	filled	1	1	1	1.00	yes		
in one's cups	clitic	1	0	1	0.00	no	Is there coffee or tea in your cup?	in … your … cup
in one's element	clitic	1	1	1	1.00	yes		
in one's infinite wisdom	clitic	1	1	1	1.00	yes		
in one's own hands	clitic	1	1	1	1.00	yes		
in one's own right	clitic	1	1	1	1.00	yes		
in one's own world	filled	1	1	1	1.00	yes		
in one's sight	clitic	1	1	1	1.00	yes		
in one's sights	clitic	1	1	1	1.00	yes		
in someone's view	clitic	1	1	1	1.00	yes		
in something's favor	filled	1	0	1	0.00	no	Let me find favor in your eyes.	favor … in … eyes
in the palm of one's hand	clitic	1	0	1	0.00	no	I have a splinter in the palm of my hand.	in … the … palm … of … my … hand
insult one's intelligence	clitic	1	1	1	1.00	yes		
keep one's counsel	clitic	1	1	1	1.00	yes		
keep one's ears open	clitic	1	1	1	1.00	yes		
keep one's eye on the ball	clitic	1	1	1	1.00	yes		
keep one's eyes on the ball	clitic	1	1	1	1.00	yes		
keep one's head on a swivel	clitic	1	1	1	1.00	yes		
keep one's nose clean	clitic	1	1	1	1.00	yes		
keep one's own counsel	clitic	1	1	1	1.00	yes		
keep one's powder dry	clitic	1	1	1	1.00	yes		
keep one's shirt on	clitic	1	1	1	1.00	yes		
keep one's side of the bargain	clitic	1	1	1	1.00	yes		
keep one's temper	filled	1	1	1	1.00	yes		
keep someone in the loop	filled	1	1	1	1.00	yes		
keep someone occupied	clitic	1	1	1	1.00	yes		
keep someone up late	clitic	1	1	1	1.00	yes		
keep someone up late	filled	1	1	1	1.00	yes		
kill someone dead	filled	1	1	1	1.00	yes		
kiss someone's ass	filled	1	1	1	1.00	yes		
kiss someone's ring	clitic	1	1	1	1.00	yes		
knit one's brow	clitic	1	1	1	1.00	yes		
knit one's brows	clitic	1	1	1	1.00	yes		
knock someone for six	clitic	1	1	1	1.00	yes		
knock someone for six	filled	1	1	1	1.00	yes		
knock someone's socks off	clitic	1	1	1	1.00	yes		
know like the back of one's hand	clitic	1	1	1	1.00	yes		
know one's stuff	filled	1	0	1	0.00	no	You know, girl's stuff.	know … girl … stuff
know someone when	clitic	1	0	1	0.00	no	Stop saying you're on my side when you barely know me.	when … know … me
leave one's mark	clitic	1	1	1	1.00	yes		
leave someone at the altar	filled	1	1	1	1.00	yes		
leave someone cold	clitic	1	1	1	1.00	yes		
leave someone in the lurch	clitic	1	1	1	1.00	yes		
let one's hair down	clitic	1	1	1	1.00	yes		
lick one's wounds	clitic	1	0	1	0.00	no	The injured dog was licking its wounds.	licking … its … wounds
lick someone's boots	filled	1	1	1	1.00	yes		
lie through one's teeth	clitic	1	1	1	1.00	yes		
lift someone's spirits	clitic	1	1	1	1.00	yes		
like one means it	filled	1	1	1	1.00	yes		
like one's life depended on it	clitic	1	1	1	1.00	yes		
live one's best life	clitic	1	1	1	1.00	yes		
live one's own life	clitic	1	1	1	1.00	yes		
lock someone up and throw away the key	filled	1	1	1	1.00	yes		
